PublishedLineName,DirectionRef,NextStopPointName
B3,1.0,AV U/E 27 ST
B9,1.0,BAY RIDGE AV/4 AV
B11,0.0,NOSTRAND AV / AV H
B11,0.0,50 ST/6 AV
B52,1.0,GATES AV/BEDFORD AV
B46,0.0,UTICA AV/LINDEN BL
B16,1.0,MARINE AV/4 AV
B63,0.0,ATLANTIC AV/HOYT ST
B46-SBS,1.0,UTICA AV/AV H
B11,1.0,1 AV / 56 ST
B62,1.0,MCGUINNESS BL/FREEMAN ST
B83,1.0,GATEWAY CTR TERM/GATEWAY DR
B60,1.0,ROCKAWAY PKY/FARRAGUT RD
B46,1.0,UTICA AV/FILLMORE AV
B67,0.0,DIVISION AV/WYTHE AV
B62,1.0,DRIGGS AV/GRAND ST
B67,0.0,JAY ST/TILLARY ST
B3,0.0,AV U/FORD ST
B1,0.0,86 ST/BAY PY
B38,1.0,DE KALB AV/NOSTRAND AV
B15,1.0,LEFFERTS BLVD/AIRTRAIN STA
B25,1.0,FULTON ST/S ELLIOTT PL
B83,0.0,JAMAICA AV/HERKIMER ST
B68,1.0,CONEY ISLAND AV/AV Y
B45,0.0,ATLANTIC AV/CARLTON AV
B25,0.0,FULTON ST/ALBANY AV
B7,1.0,KINGS HY/FLATBUSH AV
B38,1.0,DE KALB AV/BROADWAY
B26,1.0,HALSEY ST/MALCOLM X BL
B46,0.0,UTICA AV/MAPLE ST
B83,1.0,VAN SICLEN AV/STANLEY AV
B16,1.0,13 AV/56 ST
B82,0.0,KINGS HY/E 7 ST
B41,1.0,VETERANS AV/E 71 ST
B44-SBS,0.0,ROGERS AV/SAINT JOHNS PLACE
B35,0.0,39 ST/3 AV
B41,0.0,FLATBUSH AV/TILDEN AV
B41,0.0,FLATBUSH AV/FLATLANDS AV
B6,1.0,GLENWOOD RD/FLATBUSH AV
B6,0.0,BAY PY/WEST 8 ST
B15,1.0,NEW LOTS AV/VAN SINDEREN AV
B41,0.0,FLATBUSH AV/CLARKSON AV
B26,0.0,FULTON ST/LAFAYETTE AV
B64,1.0,BATH AV/14 AV
B70,0.0,36 ST/3 AV
B44-SBS,1.0,NOSTRAND AV/AV X
B6,0.0,BAY PY/86 ST
B67,0.0,7 AV/GARFIELD PL
B63,1.0,5 AV/33 ST
B7,0.0,KINGS HY/NOSTRAND AV
B1,0.0,87 ST/4 AV
B47,1.0,BROADWAY/MYRTLE AV
B15,1.0,E 98 ST/LOTT AV
B6,0.0,BEDFORD AV/CAMPUS RD
B44-SBS,1.0,NOSTRAND AV/AV X
B3,0.0,AV U/W 12 ST
B6,0.0,AV J/E 18 ST
